v000958 1_h
v000205 5dnews_h
v000339 able_jj
v000283 abortion_nn
v000561 abuse_nn
v000813 access_nn
v000095 accord_vbg
v000866 account_nn
v000876 account_nns
v000527 accountable_jj
v000424 action_nn
v000790 action_nns
v000534 activist_nns
v000560 admin_nn
v000138 administration_nn
v000575 adult_nns
v000968 afraid_jj
v000543 age_nn
v000653 agency_nns
v000160 agenda_nn
v000741 agent_nns
v000740 agree_vb
v000771 agree_vbp
v000692 aid_nn
v000800 air_nn
v000529 alexjonesshow_h
v000901 alien_nns
v000799 all_jj
v000629 alleged_jj
v000469 allow_vb
v000724 allow_vbg
v000475 allow_vbn
v000460 amazing_jj
v000065 america_h
v000075 americafirst_h
v000029 american_jj
v000570 announce_vbd
v000823 announce_vbz
v000556 announcement_nn
v000103 anti
v000167 anyone_nn
v000241 anything_nn
v000923 apps_nns
v000474 arizona_h
v000670 arrest_vbn
v000910 article_nn
v000770 ask_vb
v000613 ask_vbd
v000922 ask_vbg
v000909 ask_vbn
v000628 assault_nn
v000286 attack_nn
v000481 attack_nns
v000945 attack_vbg
v000689 attempt_nn
v000593 attention_nn
v000439 attorney_nn
v000841 available_jj
v000921 back_nn
v000099 backhand_index_pointing_down_e
v000259 backhand_index_pointing_right_e
v000151 bad_jj
v000596 bad_jjr
v000438 bad_jjs
v000100 ballot_nn
v000669 ballot_nns
v000635 ban_nn
v000762 ban_vb
v000935 ban_vbg
v000957 ban_vbn
v000750 base_nn
v000428 base_vbn
v000491 battle_nn
v000526 become_vb
v000840 become_vbg
v000546 believe_vb
v000122 believe_vbp
v000723 believe_vbz
v000511 bid_nn
v000342 biden_h
v000025 big_jj
v000553 big_jjs
v000035 bill_nn
v000545 bill_nns
v000423 billion_nns
v000510 black_jj
v000934 block_vb
v000832 blue_heart_e
v000497 board_nn
v000262 book_nn
v000652 book_nns
v000048 border_nn
v000273 break_vbg
v000022 breaking_nn
v000333 bring_vb
v000933 brutal_jj
v000607 budget_nn
v000239 business_nn
v000749 business_nns
v000500 call_nn
v000739 call_nns
v000393 call_vb
v000204 call_vbd
v000226 call_vbg
v000289 call_vbn
v000612 call_vbp
v000334 call_vbz
v000054 campaign_nn
v000042 candidate_nn
v000120 candidate_nns
v000209 care_nn
v000041 case_nn
v000555 case_nns
v000944 catch_vbn
v000875 censor_vb
v000223 censorship_nn
v000967 certain_jj
v000455 chair_nn
v000668 chance_nn
v000379 change_nn
v000392 change_vb
v000780 chaos_nn
v000364 charge_nns
v000738 charge_vbn
v000932 chat_nn
v000769 check_mark_button_e
v000865 check_vb
v000106 child_nn
v000001 child_nns
v000383 chinese_jj
v000525 choice_nn
v000449 christian_jj
v000524 citizen_nns
v000822 city_nn
v000779 civil_jj
v000768 claim_nns
v000821 claim_vbz
v000812 classified_jj
v000406 clear_jj
v000509 climate_nn
v000592 clown_face_e
v000988 college_nn
v000104 collision_e
v000105 come_vbg
v000427 come_vbn
v000647 comment_nns
v000468 committee_nn
v000859 common_jj
v000646 communist_jj
v000448 community_nn
v000332 company_nn
v000411 company_nns
v000252 complete_jj
v000508 concern_nns
v000798 concern_vbg
v000651 conference_nn
