New new_NP
Hampshire hampshire_NP
' '
s s_NN
 "  "
Republican republican_JJ
 "  "
governor governor_NN
believes believe_VBZ
that that_IN
the the_DT
state state_NN
' '
s s_NN
motto motto_NN
, ,
 "  "
Live live_NP
Free free_NP
or or_CC
Die die_VB
, ,
 "  "
refers refer_VBZ
to to_TO
local local_JJ
governments government_NNS
not not_RB
individual individual_JJ
human human_JJ
beings being_NNS
. .
He he_PP
believes believe_VBZ
your your
children child_NNS
have have_VBP
no no_DT
right right_NN
to to_TO
breathe breathe_VB
unrestrictedly unrestrictedly_RB
in in_IN
school school_NN
, ,
but but_CC
local local_JJ
governments government_NNS
have have_VBP
a a_DT
right right_NN
to to_TO
follow follow_VB
the the_DT
federal federal_JJ
government government_NN
' '
s s_JJ
barbaric barbaric_JJ
mask mask_NN
requirements requirement_NNS
without without_IN
state state_NN
input input_NN
. .
Likewise likewise_RB
, ,
he he_PP
believes believe_VBZ
schools school_NNS
have have_VBP
the the_DT
right right_NN
to to_TO
secretly secretly_RB
engage engage_VB
in in_IN
grooming groom_VBG
of of_IN
children child_NNS
, ,
but but_CC
parents parent_NNS
have have_VBP
no no_DT
right right_NN
to to_TO
know know_VB
. .
