BREAKING breaking_NN
: :
police_car_light_e police_car_light_e
Ronna ronna_NP
McDaniel mcdaniel_NP
steps step_VBZ
down down_RB
as as_IN
RNC rnc_NP
Chairwoman chairwoman_NP
! !
right_arrow_e right_arrow_e
In in_IN
a a_DT
shocking shocking_JJ
turn turn_NN
of of_IN
events event_NNS
, ,
the the_DT
Republican republican_NP
National national_NP
Committee committee_NP
is be_VBZ
set set_VBN
to to_TO
see see_VB
a a_DT
change change_NN
in in_IN
leadership leadership_NN
. .
Stay stay_VB
informed informed_JJ
and and_CC
share share_VB
the the_DT
news news_NN
! !
eyes_e eyes_e
#ronnamcdanielresigns_h ronnamcdanielresigns_h
#rnc_h rnc_h
#politics_h politics_h
#gop_h gop_h
