Did do_VBD
you you_PP
know know_VBP
what what_WP
other other_JJ
bills bill_NNS
were be_VBD
attached attach_VBN
to to_TO
the the_DT
one one_CD
about about_IN
equal equal_JJ
marriage marriage_NN
? ?
All all_DT
of of_IN
the the_DT
pork pork_NN
and and_CC
pet pet_NN
projects project_NNS
and and_CC
money money_NN
laundering launder_VBG
the the_DT
Democrats democrats_NPS
were be_VBD
trying try_VBG
to to_TO
sneak sneak_VB
past past_IN
the the_DT
American american_JJ
people people_NNS
? ?
And and_CC
then then_RB
Democrats democrats_NPS
simply simply_RB
told tell_VBD
y y_NP
' '
all all_RB
that that_IN
the the_DT
GOP gop_NP
voted vote_VBD
against against_IN
the the_DT
equal equal_JJ
marriage marriage_NN
act act_NN
. .
Do do_VB
you you_PP
know know_VB
anything anything_NN
about about_IN
the the_DT
bill bill_NN
at at_IN
all all_DT
? ?
We we_PP
' '
ll ll_NNS
start start_VBP
here here_RB
and and_CC
work work_VB
our our
way way_NN
down down_RP
your your
little little_JJ
list list_NN
. .
Shall shall_MD
we we_PP
? ?
