Watch watch_VB
LIVE live_NP
! !
Friday friday_NP
Bombshell bombshell_NP
: :
TX tx_NP
Governor governor_NP
Orders orders_NP
State state_NP
Guard guard_NP
to to_TO
Take take_VB
Control control_NP
of of_IN
Southern southern_NP
Border border_NP
From from_IN
Treasonous treasonous_NP
Feds feds_NP
TUNE tune_NP
IN in_IN
: :
╰ ╰
#supportinfowars_h supportinfowars_h
╮ ╮
video_game_e video_game_e
grinning_squinting_face_e grinning_squinting_face_e
#nwowars_h nwowars_h
AVAILABLE available_NP
on on_IN
Steam steam_NP
! !
fire_e fire_e
closed_book_e closed_book_e
writing_hand_e writing_hand_e
Get get_VBP
a a_DT
signed sign_VBN
copy copy_NN
of of_IN
' '
The the_DT
Great great_NP
Awakening awakening_NP
' '
while while_IN
you you_PP
still still_RB
can can_MD
! !
#1a_h 1a_h
