Raised raise_VBN
a a_DT
shitload shitload_NN
of of_IN
money money_NN
for for_IN
the the_DT
great great_JJ
Friends friend_NNS
of of_IN
Vets vets_NP
Military military_NP
Charity charity_NP
Saturday saturday_NP
night night_NN
at at_IN
Bare-Bones bare-bones_NP
barbecue barbecue_NN
in in_IN
Gatesville gatesville_NP
Texas texas_NP
surrounded surround_VBD
by by_IN
the the_DT
best well_RBS
loving loving_JJ
giving giving_NN
caring care_VBG
Americans americans_NPS
! !
Godbless godbless_NP
the the_DT
Gonzo gonzo_NP
MAGA maga_NP
American american_NP
families family_NNS
! !
￼ ￼
