What what_WP
I i_PP
believe believe_VBP
was be_VBD
a a_DT
good good_JJ
stirring stir_VBG
for for_IN
the the_DT
GOP gop_NP
was be_VBD
not not_RB
just just_RB
handing hand_VBG
McCarthy mccarthy_NP
the the_DT
speakership speakership_NN
. .
They they_PP
' '
re re_IN
doing do_VBG
a a_DT
lot lot_NN
more more_JJR
work work_NN
now now_RB
than than_IN
they they_PP
had have_VBD
been be_VBN
in in_IN
many many_JJ
years year_NNS
. .
The the_DT
real real_JJ
work work_NN
is be_VBZ
not not_RB
really really_RB
going go_VBG
to to_TO
begin begin_VB
until until_IN
we we_PP
can can_MD
get get_VB
all all_PDT
these these_DT
investigations investigation_NNS
into into_IN
the the_DT
bad bad_JJ
actors actor_NNS
out out_IN
of of_IN
the the_DT
way way_NN
. .
We we_PP
need need_VBP
to to_TO
do do_VB
a a_DT
purge purge_NN
and and_CC
oust oust_VB
everyone everyone_NN
who who_WP
lied lie_VBD
to to_TO
the the_DT
American american_JJ
people people_NNS
before before_IN
we we_PP
can can_MD
start start_VB
fresh fresh_JJ
for for_IN
the the_DT
American american_JJ
people people_NNS
. .
