BREAKING breaking_NN
: :
The the_DT
courts court_NNS
in in_IN
Brazil brazil_NP
have have_VBP
banned ban_VBN
the the_DT
use use_NN
of of_IN
the the_DT
Telegram telegram_NN
messaging message_VBG
app app_NP
, ,
mandating mandate_VBG
that that_IN
all all_DT
phone phone_NN
carriers carrier_NNS
and and_CC
app app_NN
stores store_NNS
remove remove_VB
it it_PP
from from_IN
their their
platforms platform_NNS
after after_IN
it it_PP
refused refuse_VBD
to to_TO
hand hand_VB
over over_IN
user user_NN
data datum_NNS
to to_TO
the the_DT
Brazilian brazilian_JJ
government government_NN
. .
The the_DT
assault assault_NN
on on_IN
free free_JJ
speech speech_NN
continues continue_VBZ
. .
