You you_PP
want want_VBP
to to_TO
know know_VB
why why_WRB
the the_DT
native native_JJ
Americans americans_NPS
are be_VBP
pissed piss_VBN
at at_IN
politicians politician_NNS
in in_IN
SD sd_NP
? ?
Because because_IN
they they_PP
should should_MD
be be_VB
. .
Rounds round_NNS
appointed appoint_VBD
Debra debra_NP
Bowman bowman_NP
, ,
William william_NP
Janklow janklow_NP
' '
s s_NN
 "  "
Special special_JJ
Executive executive_NP
Assistant assistant_NP
 "  "
, ,
to to_TO
be be_VB
the the_DT
Director director_NN
of of_IN
the the_DT
South south_NP
Dakota dakota_NP
State state_NP
Department department_NP
of of_IN
Social social_NP
Services services_NP
and and_CC
, ,
together together_RB
, ,
Rounds rounds_NP
and and_CC
Bowman bowman_NP
falsely falsely_RB
claimed claim_VBD
that that_IN
the the_DT
Federal federal_NP
Adoption adoption_NP
& &
Safe safe_NP
Families families_NP
Act act_NP
trumped trump_VBD
the the_DT
Federal federal_NP
Indian indian_NP
Child child_NP
Welfare welfare_NP
Act act_NP
and and_CC
they they_PP
continued continue_VBD
to to_TO
seize seize_VB
Lakota lakota_NP
children child_NNS
at at_IN
an an_DT
alarming alarming_JJ
rate rate_NN
— -
even even_RB
after after_IN
the the_DT
South south_NP
Dakota dakota_NP
Supreme supreme_NP
Court court_NP
issued issue_VBD
a a_DT
ruling ruling_NN
in in_IN
2005 @card@
expressly expressly_RB
declaring declare_VBG
the the_DT
Rounds rounds_NP
Administration administration_NP
' '
s s_JJ
Indian indian_JJ
child-placement child-placement_NN
policy policy_NN
to to_TO
be be_VB
unlawful unlawful_JJ
. .
#dt47_h dt47_h
#truthtrain_h truthtrain_h
#phpnews_h phpnews_h
#tcd_h tcd_h
#nightshift_h nightshift_h
#lilypadlounge_h lilypadlounge_h
#fhfnews_h fhfnews_h
#rpn_h rpn_h
#ratpack_h ratpack_h
#twgrp_h twgrp_h
#thefungicrew_h thefungicrew_h
#5dnews_h 5dnews_h
#wtpafu_h wtpafu_h
#trump2024_h trump2024_h
#murchmadness_h murchmadness_h
#ncswic_h ncswic_h
#maga2024_h maga2024_h
#maga_h maga_h
#fbj_h fbj_h
#truth_h truth_h
#trumpwon_h trumpwon_h
#wethepeople_h wethepeople_h
#trump_h trump_h
#xteam_h xteam_h
