What what_WP
a a_DT
week week_NN
! !
In in_IN
honor honor_NN
of of_IN
our our
international international_JJ
expansion expansion_NN
, ,
we we_PP
' '
ve ve_NN
launched launch_VBD
some some_DT
new new_JJ
#truthsocial_h truthsocial_h
swag swag_NN
, ,
available available_JJ
exclusively exclusively_RB
at at_IN
our our
online online_JJ
store store_NN
: :
addition addition_NN
to to_TO
our our
Truth truth_NP
Social social_NP
Patriot patriot_NP
Hat hat_NP
and and_CC
#covfefe_h covfefe_h
coffee coffee_NN
mug mug_NN
, ,
we we_PP
' '
ve ve_NN
added add_VBD
Truth truth_NP
koozies koozies_NNS
, ,
golf golf_NN
balls ball_NNS
, ,
and and_CC
our our
first first_JJ
ever ever_RB
T-shirt t-shirt_NN
. .
Get get_VB
them them_PP
before before_IN
they they_PP
' '
re re_NN
gone go_VBN
! !
