HUGE huge_JJ
NEWS news_NN
: :
The the_DT
Tennessee tennessee_NP
law law_NN
to to_TO
BAN ban_NP
sex sex_NN
change change_NN
surgeries surgery_NNS
, ,
hormones hormone_NNS
and and_CC
puberty puberty_NN
blockers blocker_NNS
for for_IN
kids kid_NNS
was be_VBD
just just_RB
UPHELD upheld_JJ
by by_IN
the the_DT
6th 6th_JJ
Circuit circuit_NN
! !
The the_DT
ACLU aclu_NP
, ,
their their
lawyers lawyer_NNS
and and_CC
the the_DT
trans trans_NNS
industrial industrial_JJ
complex complex_JJ
don don_NN
' '
t t_NN
get get_VBP
to to_TO
mutilate mutilate_VB
kids kid_NNS
in in_IN
Tennessee tennessee_NP
— -
Not not_RB
on on_IN
our our
watch watch_NN
! !
@landonstarbuck twitterhandle_NN
, ,
@mattwalsh twitterhandle_NN
and and_CC
I i_PP
fought fight_VBD
so so_RB
hard hard_JJ
for for_IN
this this_DT
law law_NN
to to_TO
become become_VB
a a_DT
reality reality_NN
. .
Big big_JJ
thanks thanks_NNS
to to_TO
State state_NP
Representative representative_NP
William william_NP
Lamberth lamberth_NP
and and_CC
Senator senator_NP
Jack jack_NP
Johnson johnson_NP
who who_WP
introduced introduce_VBD
the the_DT
bill bill_NN
, ,
Chloe chloe_NP
Cole cole_NP
for for_IN
testifying testify_VBG
in in_IN
favor favor_NN
of of_IN
it it_PP
, ,
the the_DT
TN tn_NP
GOP gop_NP
house house_NN
legislators legislator_NNS
who who_WP
voted vote_VBD
to to_TO
pass pass_VB
it it_PP
, ,
Gov gov_NP
. .
Bill bill_NP
Lee lee_NP
for for_IN
signing sign_VBG
it it_PP
into into_IN
law law_NN
and and_CC
Attorney attorney_NP
General general_NP
Skrmetti skrmetti_NP
for for_IN
fighting fight_VBG
for for_IN
it it_PP
! !
MASSIVE massive_JJ
WIN win_NP
for for_IN
Tennessee tennessee_NP
! !
