Another another_DT
reason reason_NN
Trump trump_NP
should should_MD
consider consider_VB
Tucker tucker_NP
for for_IN
VP vp_NP
: :
He he_PP
blunts blunt_VBZ
the the_DT
RFK rfk_NP
Jr jr_NP
. .
had have_VBD
Trump trump_NP
up up_RP
on on_IN
Biden biden_NP
in in_IN
5 @card@
/ /
6 @card@
swing swing_NN
states state_NNS
and and_CC
WINNING win_VBG
the the_DT
2024 @card@
election election_NN
. .
Add add_VB
RFK rfk_NP
Jr jr_NP
. .
into into_IN
the the_DT
mix mix_NN
? ?
Trump trump_NP
only only_RB
leads lead_VBZ
2 @card@
/ /
6 @card@
states state_NNS
and and_CC
there there_EX
' '
s s_NNS
no no_RB
clear clear_JJ
on on_IN
the the_DT
ticket ticket_NN
will will_MD
shore shore_VB
up up_RP
support support_NN
with with_IN
many many_JJ
vaccine vaccine_NN
skeptic skeptic_JJ
centrist centrist_JJ
voters voter_NNS
and and_CC
Independents independent_NNS
who who_WP
RFK rfk_NP
appeals appeal_VBZ
to to_TO
. .
Tucker tucker_NP
slammed slam_VBD
mandates mandate_NNS
and and_CC
lockdowns lockdowns_NNS
and and_CC
has have_VBZ
massive massive_JJ
crossover crossover_NN
appeal appeal_NN
to to_TO
RFK rfk_NP
' '
s s_JJ
core core_NN
demo demo_NN
. .
Remember remember_VB
, ,
when when_WRB
Tucker tucker_NP
was be_VBD
still still_RB
on on_IN
Fox fox_NP
, ,
he he_PP
wasn wasn_NNS
' '
t t_NN
just just_RB
popular popular_JJ
with with_IN
conservatives conservative_NNS
: :
Among among_IN
young young_JJ
viewers viewer_NNS
, ,
he he_PP
was be_VBD
the the_DT
most most_RBS
popular popular_JJ
news news_NN
show show_NN
for for_IN
is be_VBZ
the the_DT
conservative conservative_JJ
antidote antidote_NN
to to_TO
also also_RB
has have_VBZ
12 @card@
years year_NNS
of of_IN
runway runway_NN
. .
. .
. .
