Kevin kevin_NP
McCarthy mccarthy_NP
: :
 "  "
Today today_NN
was be_VBD
a a_DT
win win_NN
for for_IN
every every_DT
mother mother_NN
, ,
every every_DT
father father_NN
, ,
but but_CC
most most_RBS
importantly importantly_RB
, ,
for for_IN
every every_DT
student student_NN
in in_IN
America america_NP
. .
You you_PP
have have_VBP
a a_DT
Parents parents_NP
Bill bill_NP
of of_IN
Rights rights_NPS
now now_RB
. .
 "  "
Today today_NN
the the_DT
GOP gop_NP
has have_VBZ
passed pass_VBN
the the_DT
Parents parents_NP
Bill bill_NP
of of_IN
Rights rights_NPS
. .
Parents parent_NNS
will will_MD
have have_VB
the the_DT
right right_JJ
to:1 to:1
. .
Know know_VBP
what what_WP
their their
children child_NNS
are be_VBP
being be_VBG
taught teach_VBN
. .
2 2_LS
. .
Be be_VB
heard hear_VBN
. .
3 3_LS
. .
See see_VB
the the_DT
school school_NN
budget budget_NN
and and_CC
spending spending_NN
. .
4 4_LS
. .
Protect protect_VB
their their
child child_NN
' '
s s_NN
privacy privacy_NN
. .
5 5_LS
. .
Keep keep_VB
their their
children child_NNS
safe safe_JJ
. .
