PerspectiveUS perspectiveus_NN
casualties casualty_NNS
in in_IN
all all_DT
wars war_NNS
combined combined_JJ
, ,
1 @card@
. .
6 @card@
ust ust_NN
6 @card@
millionAbortion millionabortion_NN
in in_IN
the the_DT
US us_NP
since since_IN
1973 @card@
, ,
63 @card@
million million_CD
, ,
mostly mostly_RB
for for_IN
st st_JJ
mass mass_NN
murder murder_NN
ever ever_RB
. .
#dt47_h dt47_h
#truthtrain_h truthtrain_h
#phpnews_h phpnews_h
#tcd_h tcd_h
#nightshift_h nightshift_h
#lilypadlounge_h lilypadlounge_h
#fhfnews_h fhfnews_h
#rpn_h rpn_h
#ratpack_h ratpack_h
#twgrp_h twgrp_h
#thefungicrew_h thefungicrew_h
#5dnews_h 5dnews_h
#wtpafu_h wtpafu_h
#trump2024_h trump2024_h
#murchmadness_h murchmadness_h
#ncswic_h ncswic_h
#maga2024_h maga2024_h
#maga_h maga_h
#fbj_h fbj_h
#truth_h truth_h
#trumpwon_h trumpwon_h
#wethepeople_h wethepeople_h
#trump_h trump_h
#xteam_h xteam_h
