GOP gop_NP
underdog underdog_NN
candidates candidate_NNS
are be_VBP
seeking seek_VBG
to to_TO
derail derail_VB
@realDonaldTrump twitterhandle_NN
' '
s s_JJ
2024 @card@
Republican republican_JJ
presidential presidential_JJ
drive drive_NN
see see_VB
#utah_h utah_h
as as_IN
a a_DT
weak weak_JJ
link link_NN
in in_IN
his his
path path_NN
to to_TO
the the_DT
. .
Ron ron_NP
DeSantis desantis_NP
made make_VBD
2 @card@
campaign campaign_NN
appearances appearance_NNS
in in_IN
the the_DT
Salt salt_NP
Lake lake_NP
City city_NP
area area_NN
. .
