My my
wife wife_NN
Landon landon_NP
Starbuck starbuck_NP
and and_CC
I i_PP
wrote write_VBD
an an_DT
outline outline_NN
for for_IN
the the_DT
Childhood childhood_NP
Protection protection_NP
& &
Restoration restoration_NP
Act act_NP
( (
CPR cpr_NP
Act act_NP
) )
that that_IN
we we_PP
' '
re re_NN
proposing propose_VBG
for for_IN
TN tn_NP
to to_TO
address address_VB
all all_PDT
the the_DT
issues issue_NNS
TN tn_NP
children child_NNS
face face_VBP
today today_NN
. .
The the_DT
bill bill_NN
we we_PP
' '
re re_NN
working work_VBG
on on_IN
will will_MD
ban ban_VB
child child_NN
sex sex_NN
changes change_NNS
, ,
ban ban_VB
sexual sexual_JJ
drag drag_NN
shows show_NNS
for for_IN
kids kid_NNS
, ,
ban ban_NN
vaccine vaccine_NN
discrimination discrimination_NN
that that_WDT
prevents prevent_VBZ
kids kid_NNS
from from_IN
getting get_VBG
life life_NN
saving save_VBG
care care_NN
, ,
remove remove_VB
pornographic pornographic_JJ
books book_NNS
from from_IN
schools school_NNS
/ /
libraries library_NNS
and and_CC
this this_DT
bill bill_NN
will will_MD
hold hold_VB
predators predator_NNS
accountable accountable_JJ
! !
Send send_VB
to to_TO
your your
reps rep_NNS
! !
Full full_JJ
PDF pdf_NN
: :
