Progressives progressive_NNS
see see_VBP
the the_DT
family family_NN
as as_IN
an an_DT
oppressive oppressive_JJ
unit unit_NN
that that_WDT
pushes push_VBZ
racism racism_NN
, ,
sexism sexism_NN
, ,
homophobia homophobia_NN
and and_CC
fascism fascism_NN
onto onto_IN
children child_NNS
. .
They they_PP
say say_VBP
that that_IN
the the_DT
family family_NN
is be_VBZ
patriarchal patriarchal_JJ
, ,
authorative authorative_JJ
and and_CC
hierarchical hierarchical_JJ
. .
They they_PP
believe believe_VBP
that that_IN
after after_IN
the the_DT
eradication eradication_NN
of of_IN
the the_DT
family family_NN
, ,
they they_PP
can can_MD
fill fill_VB
children child_NNS
with with_IN
the the_DT
ideas idea_NNS
of of_IN
' '
equality equality_NN
' '
and and_CC
' '
egalitarianism egalitarianism_NN
. .
' '
The the_DT
methods method_NNS
in in_IN
which which_WDT
they they_PP
set set_VBD
out out_RP
to to_TO
destroy destroy_VB
the the_DT
family family_NN
are be_VBP
to to_TO
promote promote_VB
homosexuality homosexuality_NN
, ,
feminism feminism_NN
, ,
sexual sexual_JJ
liberation liberation_NN
and and_CC
a a_DT
reliance reliance_NN
on on_IN
the the_DT
state state_NN
. .
The the_DT
role role_NN
of of_IN
the the_DT
father father_NN
has have_VBZ
also also_RB
been be_VBN
under under_IN
attack attack_NN
, ,
cut cut_VBD
the the_DT
father father_NN
out out_RP
of of_IN
the the_DT
family family_NN
unit unit_NN
and and_CC
the the_DT
job job_NN
is be_VBZ
already already_RB
half half_RB
done do_VBN
. .
The the_DT
family family_NN
is be_VBZ
labeled label_VBN
as as_IN
a a_DT
' '
generational generational_JJ
chain chain_NN
of of_IN
oppression oppression_NN
. .
' '
#dt47_h dt47_h
#truthtrain_h truthtrain_h
#phpnews_h phpnews_h
#tcd_h tcd_h
#nightshift_h nightshift_h
#lilypadlounge_h lilypadlounge_h
#fhfnews_h fhfnews_h
#rpn_h rpn_h
#ratpack_h ratpack_h
#twgrp_h twgrp_h
#thefungicrew_h thefungicrew_h
#5dnews_h 5dnews_h
#wtpafu_h wtpafu_h
#trump2024_h trump2024_h
#murchmadness_h murchmadness_h
#ncswic_h ncswic_h
#maga2024_h maga2024_h
#maga_h maga_h
#fbj_h fbj_h
#truth_h truth_h
#trumpwon_h trumpwon_h
#wethepeople_h wethepeople_h
#trump_h trump_h
#xteam_h xteam_h
