According accord_VBG
to to_TO
DHS dhs_NP
status status_NN
indicators indicator_NNS
, ,
over over_IN
433 @card@
, ,
000 @card@
criminal criminal_JJ
aliens alien_NNS
have have_VBP
been be_VBN
booked book_VBN
into into_IN
local local_JJ
Texas texas_NP
jails jail_NNS
between between_IN
June june_NP
1 @card@
, ,
2011 @card@
, ,
and and_CC
April april_NP
30 @card@
, ,
2024 @card@
, ,
of of_IN
which which_WDT
over over_IN
305 @card@
, ,
000 @card@
were be_VBD
classified classify_VBN
as as_IN
illegal illegal_JJ
aliens alien_NNS
by by_IN
n n_NN
June june_NP
1 @card@
, ,
2011 @card@
, ,
and and_CC
April april_NP
30 @card@
, ,
2024 @card@
, ,
these these_DT
305 @card@
, ,
000 @card@
illegal illegal_JJ
aliens alien_NNS
were be_VBD
charged charge_VBN
with with_IN
more more_JJR
than than_IN
525 @card@
, ,
000 @card@
criminal criminal_JJ
offenses offense_NNS
which which_WDT
included include_VBD
arrests arrest_NNS
for for_IN
981 @card@
homicide homicide_NN
charges charge_NNS
; ;
66 @card@
, ,
702 @card@
assault assault_NN
charges charge_NNS
; ;
9 @card@
, ,
509 @card@
burglary burglary_NN
charges charge_NNS
; ;
61 @card@
, ,
628 @card@
drug drug_NN
charges charge_NNS
; ;
1 @card@
, ,
201 @card@
kidnapping kidnapping_NN
charges charge_NNS
; ;
26 @card@
, ,
469 @card@
theft theft_NN
charges charge_NNS
; ;
40 @card@
, ,
968 @card@
obstructing obstruct_VBG
police police_NN
charges charge_NNS
; ;
3 @card@
, ,
022 @card@
robbery robbery_NN
charges charge_NNS
; ;
6 @card@
, ,
642 @card@
sexual sexual_JJ
assault assault_NN
charges charge_NNS
; ;
7 @card@
, ,
663 @card@
sexual sexual_JJ
offense offense_NN
charges charge_NNS
; ;
and and_CC
6 @card@
, ,
448 @card@
weapon weapon_NN
charges charge_NNS
. .
#xteam_h xteam_h
#dt47_h dt47_h
#truthtrain_h truthtrain_h
#phpnews_h phpnews_h
#tcd_h tcd_h
#nightshift_h nightshift_h
#lilypadlounge_h lilypadlounge_h
#fhfnews_h fhfnews_h
#rpn_h rpn_h
#ratpack_h ratpack_h
#twgrp_h twgrp_h
#thefungicrew_h thefungicrew_h
#5dnews_h 5dnews_h
#wtpafu_h wtpafu_h
#trump2024_h trump2024_h
#murchmadness_h murchmadness_h
#ncswic_h ncswic_h
#maga2024_h maga2024_h
#maga_h maga_h
#fbj_h fbj_h
#truth_h truth_h
#trumpwon_h trumpwon_h
#wethepeople_h wethepeople_h
#trump_h trump_h
