NEW new_JJ
Ask ask_NP
Me me_NP
Anything anything_NP
police_car_light_e police_car_light_e
-What -what_NN
matters matter_NNS
more more_RBR
— -
preserving preserve_VBG
free free_JJ
speech speech_NN
, ,
or or_CC
cracking crack_VBG
down down_RP
on on_IN
left-wing left-wing_JJ
whackjobs whackjobs_NNS
on on_IN
campus campus_NN
? ?
-Does -does_NP
Trump trump_NP
' '
s s_JJ
planned planned_JJ
picks pick_NNS
for for_IN
2025 @card@
prove prove_VBP
that that_IN
his his
second second_JJ
term term_NN
would would_MD
be be_VB
more more_RBR
effective effective_JJ
than than_IN
his his
first first_JJ
? ?
-Should -should_NP
Taylor taylor_NP
Swift swift_NP
have have_VB
been be_VBN
Person person_NP
of of_IN
the the_DT
Year year_NN
? ?
