Biden biden_NP
is be_VBZ
now now_RB
proposing propose_VBG
federal federal_JJ
legislation legislation_NN
that that_WDT
would would_MD
force force_VB
states state_NNS
such such_JJ
as as_IN
Florida florida_NP
to to_TO
allow allow_VB
doctors doctor_NNS
to to_TO
perform perform_VB
child child_NN
sex sex_NN
change change_NN
operations operation_NNS
. .
I i_NP
' '
m m_NN
old old_JJ
enough enough_RB
to to_TO
remember remember_VB
when when_WRB
all all_DT
liberals liberal_NNS
cared care_VBD
was be_VBD
ending end_VBG
wars war_NNS
and and_CC
saving save_VBG
whales whale_NNS
. .
Now now_RB
the the_DT
only only_JJ
thing thing_NN
they they_PP
' '
re re_NN
passionate passionate_JJ
about about_RB
are be_VBP
killing kill_VBG
babies baby_NNS
and and_CC
sexually sexually_RB
altering alter_VBG
children child_NNS
, ,
what what_WP
the the_DT
flying fly_VBG
hell hell_NN
happened happen_VBD
? ?
