Far-left far-left_JJ
protesters protester_NNS
attempt attempt_VBP
to to_TO
storm storm_VB
CPAC cpac_NP
AustraliaJust australiajust_NN
shows show_VBZ
how how_WRB
afraid afraid_JJ
these these_DT
people people_NNS
are be_VBP
of of_IN
people people_NNS
who who_WP
stand stand_VBP
for for_IN
real real_JJ
freedom freedom_NN
. .
Could could_MD
you you_PP
imagine imagine_VB
the the_DT
concocted concoct_VBN
outrage outrage_NN
if if_IN
conservatives conservative_NNS
stormed storm_VBD
a a_DT
Greens greens_NP
party party_NN
meeting meeting_NN
? ?
? ?
