Jack jack_NP
Smith smith_NP
' '
s s_JJ
indictment indictment_NN
isn isn_NN
' '
t t_NN
just just_RB
about about_IN
locking lock_VBG
up up_RP
Donald donald_NP
Trump trump_NP
. .
. .
. .
Don don_NP
Jr jr_NP
. .
joined join_VBN
to to_TO
react react_VB
to to_TO
the the_DT
latest late_JJS
attack attack_NN
on on_IN
his his
father father_NN
' '
s s_JJ
political political_JJ
movement movement_NN
, ,
and and_CC
Rep rep_NP
. .
Dan dan_NP
Bishop bishop_NP
linked link_VBD
the the_DT
case case_NN
to to_TO
the the_DT
wider wide_JJR
left-wing left-wing_JJ
offensive offensive_NN
against against_IN
free free_JJ
speech speech_NN
across across_IN
America america_NP
police_car_light_e police_car_light_e
down_arrow_e down_arrow_e
