_NAME_	Factor1	Factor2	Factor3	Factor4	Factor5	Factor6	load	secondary
v000001	-0.038303462	-0.151519879	-0.247403377	-0.215068403	0.5076007221	-0.22947909		
v000002	0.1390647153	-0.198641201	-0.152463124	-0.419943885	-0.061127295	-0.032160159		
v000003	-0.013146763	-0.482140122	0.0907103619	-0.198699932	0.0153999441	0.1136977209		
v000004	0.1005522304	-0.155228568	0.0494228638	-0.153443235	-0.02005388	0.0367251754		
v000005	0.6773911634	0.3811504084	-0.093363266	-0.308331022	-0.103109563	0.5178064279	fac6	1
v000006	-0.031180764	-0.257713578	0.1741775014	0.0098027217	0.0219229063	-0.112985188		
v000007	0.1270178623	-0.083094314	-0.070150647	-0.276089794	-0.006123648	0.0179458158		
v000008	0.044554317	-0.255202244	0.1171801198	-0.28821182	0.1472048751	0.0098925717		
v000009	0.0040606434	-0.298477076	0.1844985541	-0.379495347	0.127635062	0.0252268869		
v000010	-0.572890021	-0.296898847	0.1690548689	-0.272156429	0.0784495017	0.1637684207		
v000011	-0.004973965	-0.28237315	0.4981238316	-0.022263151	-0.007623443	-0.175809243		
v000012	0.2034765671	-0.255057623	0.2896697989	-0.13809485	-0.187363464	0.0675549871		
v000013	-0.134097188	0.5348080282	0.0616734505	-0.285431522	0.1041753628	-0.017790626		
v000014	-0.568852314	-0.258532248	-0.087281248	-0.282983529	0.1918011125	0.1357756077		
v000015	0.1014372142	-0.204270598	0.1418342748	-0.275957855	-0.088930512	0.0409141492		
v000016	-0.52030903	-0.054780711	-0.075213049	-0.270027093	0.2101854349	0.0669712492		
v000017	-0.579259604	-0.336308579	0.0178384005	-0.159160918	0.128268469	0.1717552689	fac2	1
v000018	-0.355426237	-0.040311806	0.0840606603	0.5187821543	0.0563368331	-0.34960002	fac1	1
v000019	-0.061253338	-0.15502071	-0.086944488	-0.340590362	-0.049819733	-0.060552775		
v000020	0.0824729161	-0.389435208	-0.165979841	-0.318140693	-0.048332259	-0.101927894	fac4	1
v000021	-0.548174804	-0.072256619	0.1322997785	0.0147874111	0.0334118392	-0.050694209		
v000022	-0.522243995	-0.351489097	0.0545208667	0.1751182615	0.0489821949	0.202175989	fac2	1
v000023	-0.054789573	0.0166134013	0.04899106	-0.494140951	0.0579233139	-0.029894485		
v000024	0.7578086724	0.5949513524	-0.142772085	-0.228307203	0.0529478229	0.2375427687	fac2	1
v000025	0.16610679	-0.467810805	-0.241973266	-0.149842707	-0.299944386	-0.025252982		
v000026	0.0498889444	-0.132273631	0.0026288584	-0.354107109	0.0403352632	0.0421482742		
v000027	-0.013989179	-0.386229587	0.0121127922	-0.175795112	-0.117419685	0.0275494532		
v000028	0.791571912	0.6944566384	-0.010589516	-0.270291465	0.0499869084	-0.01335833	fac2	1
v000030	0.1420966263	-0.353669149	-0.082486318	-0.407036876	0.3007379283	0.264549601	fac2	1
v000034	-0.026951261	0.0361584446	0.032677891	-0.332101916	-0.040899355	-0.047208195		
v000035	0.104999791	-0.416666549	-0.102730794	-0.37178577	0.2580294651	-0.127705653	fac4	1
v000036	-0.097682195	-0.308907716	0.8622185266	-0.016652603	-0.154137542	-0.041078032	fac2	1
v000037	0.1884891126	-0.466281887	0.1711173352	-0.227250161	0.0792936603	0.193235285		
v000038	0.0483437781	-0.07755373	-0.08788754	-0.439059709	-0.033947898	-0.099106295		
v000039	-0.484178356	0.2987665251	0.1937695555	-0.281390649	0.1300783999	-0.036329524		
v000040	-0.444262605	-0.015487804	0.2922742882	0.4410000763	0.0999482116	0.1904507741	fac4	1
v000041	-0.563562387	-0.192864316	0.2043885423	0.1750416464	0.1951358261	0.087195257		
v000042	-0.621091468	-0.319119009	0.5899863252	-0.17160683	0.0025571861	0.2117438059	fac3	1
v000043	-0.140584624	-0.337805985	-0.075571407	-0.481372315	-0.063117835	-0.00604716	fac2	1
v000044	-0.11903384	0.0423205726	0.0318285653	-0.536287655	-0.037256752	-0.130957032		
v000046	0.0383464686	-0.442748951	0.526166297	-0.398235095	-0.125419204	0.2349387701	fac2	1
v000047	-0.445262192	0.0255046759	-0.116458148	-0.541906823	-0.363283937	-0.182492705	fac1	1
v000049	0.0040563026	-0.242222717	0.2767883394	-0.503182623	0.0034623163	0.0473367542		
v000050	-0.146312677	0.090086714	0.0625024279	-0.551041519	-0.009934211	0.0686845169		
v000051	-0.03072996	-0.01158542	0.3392992805	-0.213157546	0.0995936766	-0.236690611		
v000052	0.7288477882	0.5555494704	0.2119150914	-0.196462401	0.0866159548	0.0944052032	fac2	1
v000053	-0.488270749	-0.19664267	0.4969047467	0.1030557743	-0.064485033	0.1539984097	fac1	1
v000054	0.1413788379	-0.37846512	0.3994771984	-0.01544506	-0.116388845	-0.179645317	fac2	1
v000056	0.1399937006	-0.131416972	-0.081608783	-0.492921432	-0.180784467	-0.378035108	fac6	1
v000057	-0.234591411	1.132539389	0.0445824431	-0.140887707	0.0414450425	0.110483681		
v000058	0.069542237	-0.105926339	-0.216164232	0.1427350077	-0.318794839	0.0106074172		
v000059	-0.454127815	0.0583014248	-0.15770546	-0.37056847	-0.06134578	0.1013364976	fac4	1
v000060	-0.025736451	-0.558534082	0.1061542471	-0.365503135	-0.480802929	0.0677012272	fac5	1
v000061	0.7417792001	0.0314333827	0.2277414275	-0.117783473	-0.006768029	0.4032324854	fac6	1
v000062	0.1577374573	-0.363274961	0.0029642264	-0.336801949	0.3117562002	-0.230630711	fac4	1
v000063	-0.002985712	-0.264542683	-0.314971013	-0.194502798	0.7513442151	0.0562886874	fac3	1
v000065	0.0062695085	0.9483833454	-0.114032622	-0.265734022	0.1360119348	0.2317250267		
v000068	-0.103230863	-0.087804605	0.6617951182	-0.146894607	0.0627137525	-0.266250436		
v000070	-0.484106419	0.0610038695	0.2250156367	-0.291524739	0.2746193805	-0.412724199	fac6	1
v000071	-0.023274854	-0.006901095	0.5141895623	-0.373843981	-0.149677843	-0.163227738	fac4	1
v000073	-0.381615838	0.0612757503	0.034837726	0.0268906112	-0.055858484	-0.283650689		
v000075	0.283087623	0.9250157389	0.1219192689	-0.313550936	-0.09701281	0.0761298079	fac4	1
v000078	-0.483209371	-0.275511235	-0.235107617	-0.260024868	0.6616880169	-0.36703127	fac1	1
v000080	-0.099911957	-0.075881111	0.177843324	-0.364284777	-0.057501259	-0.127564653		
v000082	0.0375078134	-0.34721885	-0.00252125	-0.092605632	0.557199412	0.3822972708	fac6	1
v000086	0.1198446332	-0.293406802	0.1664565627	-0.017738569	0.037959858	-0.218448808		
v000094	0.0924115434	-0.233592728	-0.18934124	-0.026189433	-0.081874944	-0.390079151		
v000095	0.1634953071	-0.392703383	0.3370384996	-0.133684639	0.3329948608	0.2502205939	fac3	1
v000096	0.0305159554	-0.020697225	0.6669427479	-0.139554731	0.0609962055	-0.177203981		
v000099	-0.307698333	0.4212079378	0.0245173828	-0.107461157	-0.124913522	-0.456698454	fac2	1
v000100	0.2918009183	-0.250044327	0.2803921238	0.0230400521	-0.141052961	0.2842389496		
v000106	-0.534838042	-0.247637058	-0.320411764	-0.119962881	0.7429597231	0.0231372573	fac1	1
