file	fac1	fac2	fac3	fac4	fac5
t000000	0	0	0	0	0
t000001	0	0	0	0	0
t000002	-1	0	0	0	0
t000003	-1	0	0	0	0
t000004	0	0	-2	0	0
t000005	0	0	-2	0	0
t000006	0	0	0	0	0
t000007	0	0	0	1	0
t000008	0	0	-2	0	0
t000009	-1	0	-2	0	0
t000010	0	0	0	0	0
t000011	0	0	-2	0	0
t000012	0	0	-2	0	0
t000013	0	0	-2	-1	0
t000014	0	0	-2	0	0
t000015	-1	0	0	0	0
t000016	-1	0	-2	0	0
t000017	-1	0	-2	0	0
t000018	0	0	-2	0	0
t000019	-1	0	0	0	0
t000020	0	0	-2	0	0
t000021	0	0	-2	0	0
t000022	0	0	-2	0	0
t000023	-1	0	-2	0	0
t000024	-1	0	0	0	0
t000025	0	0	-2	0	0
t000026	0	0	-2	0	0
t000027	0	0	0	0	0
t000028	0	0	-2	-1	0
t000029	0	0	0	0	0
t000030	0	0	-2	0	0
t000031	0	0	-2	0	0
t000033	0	0	-2	0	0
t000034	-1	0	-2	0	0
t000035	-1	0	-2	0	0
t000036	-1	0	0	0	0
t000037	-1	0	-2	0	0
t000038	0	0	-2	0	0
t000039	0	0	-2	0	0
t000040	0	0	-2	0	0
t000041	-1	0	0	0	0
t000042	0	0	0	0	1
t000043	-1	0	0	0	0
t000044	0	0	0	0	0
t000046	0	0	-2	0	0
t000047	-1	0	-2	0	0
t000048	0	0	-2	-1	0
t000049	0	0	0	0	0
t000050	0	0	-2	0	0
t000051	0	0	0	0	0
t000052	-1	0	0	0	0
t000053	0	0	0	0	1
t000054	0	0	-2	0	0
t000055	-1	0	0	0	0
t000056	0	0	-2	0	-1
t000057	0	0	-2	0	0
t000058	-1	0	-2	0	0
t000059	0	0	0	0	0
t000060	0	0	-2	0	-1
t000061	0	0	-2	0	0
t000063	0	0	-2	0	0
t000064	0	0	-2	0	0
t000065	-1	0	-2	0	0
t000066	0	0	-2	-1	0
t000067	0	0	-2	0	0
t000068	0	0	0	0	1
t000069	0	0	-2	0	0
t000070	0	0	-2	0	0
t000071	-1	1	-2	0	0
t000072	0	0	-2	0	0
t000073	0	0	-2	-1	-1
t000074	0	0	-2	0	0
t000075	0	0	-2	0	0
t000076	0	0	-2	0	0
t000077	0	0	-2	0	0
t000078	0	0	-2	0	0
t000079	-1	0	0	-1	0
t000080	0	0	-2	0	0
t000081	0	0	0	-1	0
t000082	0	0	-2	0	0
t000083	0	0	-2	0	0
t000084	0	0	-2	0	0
t000085	0	0	-2	0	0
t000086	0	0	-2	0	0
t000087	0	0	-1	0	0
t000088	0	0	-2	0	0
t000089	0	0	-2	0	0
t000090	-2	0	1	-1	0
t000091	0	0	-2	0	0
t000093	0	0	0	-4	0
t000094	-1	0	-2	0	-1
t000095	0	0	-2	-1	0
t000096	0	0	-2	0	0
t000097	0	0	-2	0	0
t000098	-1	0	-2	0	0
t000099	0	0	0	0	0
t000100	-2	0	-2	0	0
t000101	-1	0	-2	0	0
t000102	0	0	-2	0	0
t000104	-3	0	-2	0	0
t000105	-2	0	-2	0	0
t000106	0	0	-2	0	0
t000107	0	0	-2	0	0
t000108	0	-1	0	0	0
t000109	0	0	-2	0	0
t000110	0	0	-2	0	0
t000111	0	0	-2	0	0
t000112	0	0	0	0	0
t000113	0	0	-2	0	-1
t000114	0	0	0	0	0
t000115	0	0	0	0	0
t000116	0	0	-2	0	0
t000117	0	0	-2	0	0
t000118	0	0	-2	0	0
t000119	-1	0	-1	0	0
t000120	0	0	0	-1	0
t000121	0	0	0	0	0
t000122	-2	0	0	0	0
t000123	0	1	1	0	0
t000124	-2	0	0	1	0
t000125	0	0	0	0	0
t000126	0	-1	0	0	0
t000127	0	0	0	0	0
t000128	-2	0	0	-1	0
t000129	0	0	0	0	0
t000130	0	0	0	0	0
t000131	-1	0	0	0	0
t000134	0	0	0	0	0
t000135	0	0	0	0	0
t000136	-1	0	0	0	0
t000137	-2	0	0	-2	0
t000141	0	0	0	0	1
t000142	0	0	0	0	0
t000143	-2	0	0	-1	0
t000144	-1	0	0	0	0
t000145	-1	0	0	0	-1
t000146	0	0	0	0	0
t000148	0	0	0	-1	0
t000149	-1	0	0	0	0
t000150	0	0	0	0	0
t000151	-1	0	0	0	0
t000152	0	0	0	0	0
t000153	0	0	0	0	0
t000154	0	0	0	0	0
t000155	0	0	0	0	1
t000156	0	0	0	0	1
t000157	0	0	0	1	0
t000158	0	0	0	0	0
t000159	0	0	0	0	0
t000160	0	0	0	0	1
t000161	0	0	0	0	0
t000163	0	0	0	0	1
