file	fac1	fac2	fac3	fac4	fac5
t000164	0	0	0	0	1
t000165	0	0	0	0	1
t000166	0	0	0	0	0
t000170	-1	1	0	0	0
t000171	0	0	0	0	1
t000172	0	0	0	0	0
t000173	0	0	0	0	1
t000175	0	0	0	0	1
t000178	0	0	0	0	0
t000179	0	0	0	-1	0
t000181	-1	0	0	0	0
t000182	-1	0	0	0	0
t000183	-1	0	0	0	0
t000185	0	0	0	0	0
t000186	0	0	0	0	0
t000187	-1	0	0	-2	0
t000188	0	0	0	0	0
t000189	-1	0	0	0	0
t000190	0	0	0	0	0
t000191	0	0	0	0	-1
t000192	0	0	0	0	0
t000194	-1	0	0	-1	0
t000195	0	0	0	-1	0
t000196	0	0	0	-1	0
t000197	0	0	0	0	0
t000198	0	0	0	0	0
t000199	-1	0	0	0	0
t000200	0	0	0	0	1
t000201	0	0	0	0	0
t000202	0	0	0	0	0
t000203	0	0	0	0	0
t000204	0	0	0	0	0
t000205	-2	0	0	0	0
t000206	-1	0	0	0	0
t000207	0	0	0	-1	0
t000209	0	1	0	0	0
t000212	0	0	0	0	0
t000213	0	1	0	0	0
t000215	-1	0	0	0	0
t000216	0	0	0	0	0
t000220	0	0	0	0	0
t000225	0	0	0	0	1
t000226	0	0	0	0	1
t000227	0	0	0	0	0
t000228	0	1	0	0	0
t000229	-1	2	0	0	0
t000230	0	0	0	0	0
t000233	0	0	0	0	0
t000234	-1	0	0	0	0
t000235	0	2	0	0	0
t000236	0	0	0	0	0
t000237	0	0	0	0	0
t000238	-1	0	0	0	0
t000240	0	0	0	0	4
t000241	0	1	0	0	0
t000242	0	0	0	0	2
t000244	0	0	0	0	-1
t000246	0	1	0	0	0
t000248	0	0	0	0	0
t000249	0	0	0	0	1
t000250	0	0	0	0	0
t000251	0	0	0	-1	0
t000252	0	0	0	0	0
t000253	0	0	0	0	0
t000254	0	0	0	0	0
t000255	0	0	0	0	0
t000256	0	0	0	0	0
t000257	0	0	0	0	0
t000258	-1	0	0	0	0
t000259	0	0	0	0	0
t000260	0	0	0	0	0
t000262	0	0	0	0	0
t000263	0	0	0	0	0
t000264	-1	0	0	0	0
t000265	0	0	0	0	1
t000266	0	1	0	0	0
t000267	0	0	0	0	2
t000268	0	1	0	0	0
t000269	0	0	0	0	0
t000270	-1	-3	0	-1	1
t000271	-2	-1	0	0	-1
t000272	0	0	0	0	0
t000273	-1	-1	0	-1	0
t000274	-2	-1	1	-3	0
t000275	0	0	0	0	0
t000276	-2	0	2	0	0
t000277	0	0	0	0	1
t000278	-1	0	0	0	0
t000280	0	1	0	0	0
t000281	0	1	0	0	0
t000282	0	1	0	0	0
t000283	-1	1	0	0	0
t000284	0	-1	0	0	0
t000285	0	0	0	0	0
t000286	0	0	0	-1	0
t000287	0	0	0	0	0
t000288	0	0	0	0	0
t000289	0	0	0	-1	0
t000290	-1	0	0	0	0
t000291	0	0	0	-1	0
t000292	0	0	0	-3	0
t000294	0	0	0	0	0
t000295	-3	0	1	-4	0
t000296	-1	0	0	-1	0
t000297	0	0	0	0	0
t000298	0	0	0	-3	0
t000300	0	0	0	-1	0
t000301	-1	-2	0	-1	0
t000302	0	0	0	-1	1
t000303	-1	-1	0	-1	0
t000304	-1	-2	0	0	0
t000305	0	0	0	0	1
t000306	0	0	0	0	0
t000307	-1	0	0	-1	0
t000308	-1	0	0	0	0
t000309	-1	-1	0	-1	0
t000310	0	-2	0	-4	0
t000311	0	0	0	0	0
t000312	-2	0	0	0	0
t000313	-1	0	0	-1	0
t000314	0	0	0	0	0
t000315	-1	2	0	0	0
t000316	0	0	0	0	0
t000317	0	0	0	-2	1
t000318	0	0	0	-2	1
t000319	0	-1	0	0	0
t000320	-1	0	0	0	0
t000321	0	-1	0	-1	0
t000322	0	0	0	-2	0
t000323	0	0	0	-2	0
t000324	0	0	0	0	0
t000325	-1	0	0	-2	0
t000326	-1	2	0	0	0
t000327	0	0	1	0	0
t000328	0	1	0	1	0
t000329	0	0	0	-1	0
t000330	-1	0	0	-1	0
t000331	0	0	0	-1	1
t000332	0	0	0	-2	0
t000333	0	-2	0	-1	0
t000334	-1	1	0	-1	0
t000335	-1	1	0	-1	0
t000336	0	0	0	0	0
t000337	-1	0	0	0	1
t000338	0	-2	0	0	0
t000339	0	0	0	0	1
t000340	-1	0	0	-1	0
t000341	-1	0	0	0	0
t000342	-1	0	0	-1	0
t000343	-1	0	0	-2	1
t000344	0	-1	0	-1	2
t000345	-1	0	0	-2	0
t000346	0	2	1	0	0
t000347	0	1	0	-1	0
t000348	-1	0	0	-1	0
t000349	0	0	0	0	0
t000350	0	-1	0	-2	0
t000351	0	0	0	-1	0
t000352	0	0	0	0	0
t000353	0	0	0	0	1
t000354	0	0	-1	-1	0
t000355	0	-1	0	-1	0
t000356	0	0	0	0	0
t000357	-1	0	0	-1	0
t000358	0	0	0	-1	0
t000359	-1	0	0	-1	0
t000360	-1	0	0	0	0
t000361	0	0	0	0	0
t000362	0	0	0	-1	0
t000363	0	0	0	-1	0
t000364	0	1	0	-2	0
t000365	-1	0	0	0	0
t000366	0	0	0	-1	0
t000368	0	0	1	-1	0
t000369	-1	0	0	0	0
t000370	0	-1	0	0	0
t000371	-1	0	0	-1	0
t000372	-1	-1	0	0	0
t000373	-1	0	0	0	0
t000374	0	0	0	-1	0
t000375	-1	0	-1	0	0
t000376	0	0	0	-1	0
t000377	-1	1	0	0	0
t000378	0	0	0	0	0
t000379	0	0	0	0	0
t000381	0	0	0	-1	0
t000382	0	-1	1	-1	0
t000383	0	0	0	-2	0
t000384	0	0	0	0	0
t000385	0	-1	0	-1	-2
t000386	-1	0	1	0	0
t000388	-1	0	-1	-1	0
t000389	0	0	0	-2	0
t000390	0	0	0	0	0
t000391	-2	0	0	-1	0
t000392	0	0	0	-2	0
t000393	-1	0	0	-1	0
t000394	-2	0	0	0	0
t000395	0	0	0	-1	0
t000396	0	0	0	-1	0
t000397	0	1	0	0	0
t000398	-1	0	0	-1	0
t000399	0	-1	0	0	0
t000400	0	0	0	-2	0
t000401	0	0	0	0	0
t000402	0	0	0	-1	0
t000403	-1	0	-1	-1	0
t000404	0	0	0	-2	0
t000405	-1	0	0	-1	0
t000406	-1	0	0	0	0
t000407	-1	0	0	-1	0
t000408	0	-2	0	0	0
t000409	0	0	0	0	0
t000410	0	0	0	0	0
t000411	0	-1	0	0	0
t000412	0	-1	0	-1	2
t000413	0	0	0	0	0
t000414	0	0	0	0	1
t000415	0	0	0	0	0
t000416	0	0	0	0	0
t000417	0	0	0	0	0
t000418	-1	0	0	-1	0
t000419	-1	0	0	-1	0
t000420	0	0	0	-1	0
t000421	0	0	0	0	0
t000422	0	0	0	-2	1
t000423	0	0	0	-1	0
t000424	-1	0	0	0	0
t000425	0	0	0	-1	0
t000426	-1	0	0	0	0
t000427	0	0	0	0	0
t000428	-1	-1	1	0	-1
t000429	-1	0	0	-1	0
t000430	0	0	0	0	0
t000431	0	0	0	0	0
t000432	0	0	0	-1	0
t000433	0	1	0	0	0
t000434	0	-1	0	-1	0
t000435	-1	0	0	-1	0
t000436	0	0	0	0	0
t000437	0	-2	0	0	0
t000438	-1	0	-1	0	0
t000439	0	1	0	0	0
t000440	0	1	-1	-2	0
t000441	-1	0	0	0	-1
t000442	0	0	0	-1	0
t000443	-1	0	0	0	0
t000444	0	0	0	0	0
t000445	-1	-1	0	-1	0
t000446	0	0	0	0	0
t000447	-1	0	0	-1	2
t000448	0	0	0	-1	1
t000449	0	0	0	0	1
t000450	0	0	0	0	1
t000451	0	0	0	-1	1
t000452	0	1	0	0	0
t000453	-2	1	-1	0	0
t000454	-1	0	0	-1	0
t000455	-1	-1	0	0	0
t000456	0	0	0	-2	1
t000457	0	1	0	-2	0
t000458	-2	-2	0	-3	0
t000459	0	0	0	0	0
t000460	-2	0	0	0	0
t000461	-2	0	0	0	0
t000462	-2	0	0	-7	0
t000463	0	0	0	0	1
t000468	-1	0	0	0	0
t000472	0	0	0	0	-1
t000473	-2	0	0	-1	0
t000474	0	0	0	0	0
t000475	0	0	0	0	0
t000477	0	0	0	0	0
t000478	0	0	0	0	0
t000479	0	0	0	0	0
t000481	0	-1	2	-1	0
t000483	-1	0	0	0	2
t000484	-1	0	0	0	0
t000485	0	-1	1	-1	3
t000486	0	-1	1	-3	0
t000487	-1	0	1	-1	0
t000488	-1	-1	0	0	0
t000489	-1	0	0	0	0
t000490	0	0	0	0	0
t000491	0	0	0	-3	2
t000492	0	0	0	0	0
t000493	0	0	1	0	0
t000494	0	0	0	0	2
t000495	-1	-3	0	-1	-1
t000496	-1	0	0	-2	0
t000497	0	0	0	-1	1
t000498	0	0	0	0	0
t000499	-3	0	0	-2	0
t000500	0	0	0	0	0
t000501	-1	-1	0	0	1
t000502	0	0	0	0	1
t000503	0	-1	0	-2	0
t000504	-1	0	0	0	0
t000505	-2	0	1	-1	0
t000506	0	-2	0	0	-1
t000507	-1	0	0	-1	1
t000508	-1	-1	0	-1	0
t000509	-2	-1	0	0	0
t000510	-1	-1	0	-1	0
t000511	0	-1	1	-1	0
t000512	-1	0	0	-1	0
t000513	-1	1	0	0	-1
t000514	0	0	0	0	0
t000515	-2	0	0	-1	0
t000516	-1	-1	0	-2	0
t000517	-1	0	0	-1	1
t000518	-1	0	1	0	0
t000519	-1	-1	0	0	0
t000520	-2	-1	0	0	0
t000521	-2	0	0	0	0
t000522	-1	-2	0	0	1
t000523	0	0	0	-1	0
t000524	0	0	0	0	1
t000525	0	0	0	-2	1
t000526	-1	-1	0	-1	0
t000527	-1	-1	2	0	0
t000528	0	0	0	-1	0
t000529	0	-1	1	-1	0
t000530	0	0	0	0	0
t000531	0	0	0	0	0
t000532	0	0	2	-1	0
t000533	-1	0	0	0	0
t000534	-1	0	2	-1	0
t000535	0	0	0	0	1
t000536	-1	-2	0	-1	3
t000537	0	0	0	0	-1
t000538	0	0	0	-2	1
t000539	0	-1	0	0	0
t000540	0	0	0	-2	2
t000541	-1	0	1	0	0
t000542	0	0	0	0	3
t000543	-1	-2	1	0	0
t000544	-1	0	0	0	0
t000545	0	0	0	0	4
t000546	0	0	0	0	1
t000547	-1	0	0	0	0
t000548	-1	0	0	-1	0
t000549	0	0	0	0	1
t000550	-3	0	0	-2	0
t000551	0	0	0	-2	0
t000552	-1	-1	0	0	0
t000553	0	0	1	-1	0
t000554	-1	-1	0	-1	0
t000555	-1	0	0	0	0
t000556	0	0	0	-2	0
t000557	0	0	0	-1	2
t000558	-2	0	0	-1	3
t000559	-1	0	0	0	0
t000560	-1	0	0	0	0
t000561	-1	0	0	0	0
t000562	-1	0	0	0	0
t000563	0	0	1	0	0
t000564	0	-1	0	-2	0
t000565	-2	0	0	-1	0
t000566	-1	0	0	0	0
t000567	0	0	2	0	0
t000568	-1	0	0	0	0
t000569	0	0	0	-1	0
t000570	0	0	0	0	0
t000571	-2	0	1	1	0
t000572	-1	-1	0	-1	-1
t000573	-2	0	1	0	0
t000574	0	0	0	-1	0
t000575	0	-1	0	0	2
t000576	-1	0	0	-1	2
t000577	0	-3	0	-2	0
t000579	0	-1	2	0	-1
t000581	0	0	0	-2	3
t000582	-1	-1	0	-1	0
t000583	0	0	1	0	0
t000584	0	0	0	0	-1
t000585	-2	0	0	0	0
t000586	0	-1	1	1	1
t000587	0	0	1	-1	0
t000588	-1	0	2	0	0
t000589	-1	0	1	0	0
t000590	-1	-2	0	-1	0
t000591	0	-1	1	0	0
t000592	0	0	0	0	0
t000593	-1	-1	0	-1	0
t000594	0	-1	1	-2	0
t000595	0	0	0	0	0
t000596	0	0	0	-1	0
t000597	-1	-1	0	-2	2
t000598	-1	0	1	0	0
t000599	0	0	0	0	0
t000600	-1	0	1	-2	0
t000601	-2	0	0	0	0
t000602	-1	-1	0	-1	0
t000603	0	0	1	-5	0
t000604	0	-2	2	0	0
t000605	-1	0	0	-1	0
t000606	0	0	1	0	0
t000607	0	0	0	-1	0
t000608	-2	0	0	0	0
t000609	0	0	0	0	-1
t000610	0	0	0	0	0
t000611	0	0	0	0	0
t000612	-1	0	0	0	0
t000613	-1	0	0	-1	0
t000614	-2	0	0	-2	0
t000615	0	0	3	-1	0
t000616	-3	0	0	-1	2
t000618	-1	0	0	0	0
t000619	-1	0	1	0	0
t000620	0	0	1	0	0
t000621	0	0	0	0	0
t000622	0	-1	0	-1	0
t000623	0	0	1	0	0
t000624	-2	0	1	-2	3
t000625	0	0	0	0	0
t000626	-1	-1	1	-2	0
t000627	0	-1	0	-1	-1
t000628	-4	-1	0	0	0
t000629	0	-2	0	-1	0
t000630	-2	0	0	-1	0
t000631	-1	-1	0	-1	0
t000632	0	0	1	-1	0
t000633	-1	0	0	0	0
t000634	-2	0	0	0	0
t000635	-1	-1	0	0	0
t000636	-1	-1	1	-1	2
t000637	0	0	0	0	1
t000638	0	0	1	0	0
t000639	0	1	0	0	0
t000640	-1	0	0	-1	0
t000641	0	0	0	-2	1
t000642	-2	0	0	0	0
t000643	0	0	1	-1	0
t000644	-3	0	0	-2	0
t000645	0	0	1	0	0
t000646	0	0	0	-1	3
t000647	-2	0	0	0	0
t000648	-1	0	1	0	0
t000649	0	-1	0	0	0
t000650	-1	0	1	0	0
t000651	-2	0	0	-1	0
t000652	0	0	1	0	0
t000653	0	-1	1	-1	0
t000654	-2	-1	1	-1	-1
t000655	-3	0	3	-1	0
t000656	-2	-1	0	-2	0
t000657	-1	0	2	0	0
t000658	0	-2	0	0	0
t000659	0	-1	0	-1	0
t000660	-1	0	0	0	0
t000661	-1	0	0	0	1
t000662	-1	0	0	0	1
t000663	0	0	0	-1	-1
t000664	0	0	2	0	0
t000665	-1	-1	0	0	2
t000666	-1	0	0	0	0
t000667	0	0	0	0	1
t000668	-3	0	0	-1	0
t000669	0	0	3	0	0
t000670	-3	0	0	0	0
t000671	-1	0	0	-1	0
t000672	0	0	0	-1	0
t000673	-2	0	0	0	0
t000675	0	0	0	0	0
t000676	0	0	0	0	0
t000677	-1	0	2	0	0
t000678	-1	0	0	0	0
t000679	0	0	0	0	0
t000680	-1	0	0	-1	1
t000681	0	0	0	0	1
t000682	0	0	0	0	1
t000683	0	0	0	-1	1
t000684	0	0	0	0	0
t000685	0	0	0	0	2
t000686	0	-2	2	-1	0
t000687	0	0	0	-1	-1
t000689	0	-1	0	0	0
t000690	-1	0	1	-1	0
t000691	0	0	1	0	0
t000692	0	0	0	0	1
t000693	-2	0	0	0	0
t000694	-2	0	2	0	0
t000695	-2	0	0	-1	0
t000696	-1	0	0	0	0
t000697	-2	0	0	-1	0
t000698	0	-1	0	-1	2
t000699	-1	-1	0	0	0
t000700	-1	0	0	0	0
t000701	0	0	0	-1	0
t000702	-1	0	0	0	0
t000703	-1	0	0	0	0
t000704	0	0	0	0	0
t000705	0	0	0	0	0
t000706	-1	0	0	0	0
t000707	0	0	0	0	1
t000708	0	-1	0	0	1
t000709	0	0	0	0	0
t000710	-1	0	0	0	0
t000711	-1	0	0	-1	2
t000712	-1	0	0	0	0
t000713	0	0	0	0	2
t000714	0	0	0	-1	0
t000715	-1	0	1	-1	-1
t000716	0	0	0	-1	1
t000717	0	0	1	-1	-1
t000718	0	-1	1	0	0
t000719	-1	0	0	0	3
t000720	-1	0	0	0	0
t000721	-1	0	1	0	0
t000722	0	0	1	0	0
t000723	-1	0	2	-2	0
t000724	0	0	0	0	0
t000725	0	0	0	0	1
t000726	0	0	0	0	0
t000727	0	0	0	0	1
t000728	0	0	0	0	0
t000729	0	0	1	0	0
t000730	-1	0	1	0	0
t000731	0	0	2	0	0
t000732	0	0	0	0	1
t000733	0	-2	0	0	0
t000734	0	-2	1	0	0
t000735	-1	0	1	-1	0
t000736	-1	0	0	0	3
t000737	0	-1	1	1	0
t000738	-1	0	1	0	0
t000739	-1	0	0	0	2
t000740	0	0	0	0	0
t000741	-1	0	0	-1	0
t000742	0	0	1	0	0
t000743	-2	-1	1	-1	0
t000744	-1	0	1	0	0
t000745	0	0	1	0	0
t000746	-1	-1	0	0	0
t000747	0	0	0	0	0
t000748	-1	0	0	0	0
t000749	0	0	0	0	0
t000750	0	0	0	0	0
t000751	0	0	1	0	0
t000752	-4	-1	0	1	2
t000753	0	0	1	-1	2
t000754	0	-1	0	0	1
t000755	-1	0	0	-1	0
t000756	-2	0	0	0	0
t000757	0	0	0	0	0
t000758	0	0	0	0	0
t000759	0	0	1	0	-1
t000760	0	-1	0	0	1
t000761	0	0	0	0	1
t000762	-1	-1	0	0	0
t000763	0	0	0	0	0
t000764	0	-1	0	-1	0
t000765	-1	0	1	-1	0
t000766	0	0	1	-1	0
t000767	0	0	2	-1	0
t000768	0	-1	0	0	1
t000769	0	0	0	-3	2
t000770	0	0	0	0	2
t000771	-1	0	1	0	0
t000772	-1	0	0	0	0
t000773	0	0	0	1	0
t000774	0	-1	0	0	0
t000775	-1	-1	0	-2	1
t000776	0	0	0	-1	0
t000777	-1	0	0	0	0
t000778	-1	0	0	0	0
t000779	0	0	0	0	0
t000780	-1	0	0	0	0
t000781	0	0	0	0	0
t000782	0	0	1	0	0
t000783	-1	0	0	0	0
t000784	-1	-1	0	-1	0
t000785	-1	0	0	0	0
t000786	-1	0	0	-2	0
t000787	0	-1	0	0	0
t000788	0	0	0	0	0
t000789	0	0	0	0	2
t000790	0	0	0	0	0
t000791	0	0	0	0	0
t000792	0	0	0	0	0
t000793	0	0	0	0	1
t000794	0	0	0	-1	0
t000795	-1	0	3	0	0
t000796	0	0	0	0	2
t000797	0	0	0	0	0
t000798	0	0	0	0	0
t000799	-1	0	0	0	0
t000800	0	-1	0	0	2
t000801	0	-1	0	0	0
t000802	0	0	1	-1	1
t000803	-1	0	0	0	0
t000804	-1	-1	0	-1	0
t000805	0	-1	0	-1	0
t000806	-1	0	0	0	0
t000807	-1	0	0	0	0
t000808	-1	0	0	0	2
t000809	-1	0	0	0	0
t000810	0	0	0	0	0
t000811	0	0	0	0	1
t000812	0	0	0	0	1
t000813	-1	0	0	0	0
t000814	0	0	0	-1	0
t000815	-1	0	0	0	0
t000816	-1	0	0	-1	0
t000817	0	-1	0	0	0
t000819	0	0	0	0	1
t000820	-2	0	0	-1	0
t000823	0	0	2	0	0
t000825	0	0	0	0	0
t000826	0	0	0	0	0
t000827	0	-1	0	0	1
t000828	0	0	0	0	0
t000829	0	0	0	0	0
t000831	0	0	0	-1	0
t000832	-1	0	0	0	0
t000833	0	0	0	0	2
t000834	0	0	0	0	0
t000835	-2	1	0	0	0
t000836	0	0	0	0	0
t000837	0	0	0	-1	1
t000839	0	0	0	0	1
t000841	0	-1	0	0	1
t000842	0	0	0	0	0
t000843	0	0	0	0	0
t000844	0	0	0	0	0
t000846	0	-1	0	-1	0
t000847	-2	0	0	0	0
t000848	0	0	0	0	-1
t000849	0	0	0	0	0
t000850	0	0	0	0	0
t000851	0	0	0	0	3
t000852	0	-1	0	0	2
t000853	0	0	0	0	1
t000854	-1	-1	0	0	0
t000855	0	0	0	0	0
t000856	0	-1	0	1	0
t000857	-1	0	0	-1	0
t000858	0	0	0	0	2
t000859	0	0	0	-2	0
t000860	0	0	0	0	0
t000861	0	0	0	-3	0
t000862	0	0	0	-1	0
t000863	0	0	0	-1	0
t000864	0	0	0	0	0
t000865	-2	0	0	0	0
t000866	-1	0	1	-1	0
t000867	0	-1	0	0	0
t000868	-1	-1	0	-1	0
t000869	0	0	1	-1	5
t000870	-1	0	5	0	0
t000871	-1	0	0	0	0
t000872	0	0	0	0	0
t000873	-3	0	0	-1	0
t000874	-1	0	0	0	0
t000875	0	0	0	0	0
t000876	0	0	0	0	2
t000877	-1	-2	0	0	0
t000878	-1	0	0	0	0
t000879	0	0	0	0	1
t000880	0	0	1	0	0
t000881	0	-1	0	0	2
t000882	0	-1	0	0	0
t000883	-1	0	0	0	2
t000884	-1	0	0	0	0
t000885	0	-1	0	0	3
t000886	-1	0	0	0	0
t000887	0	0	0	0	4
t000888	0	-1	0	-1	0
t000889	0	0	0	0	0
t000890	-1	0	0	0	0
t000891	0	0	0	0	1
t000892	0	0	0	0	1
t000893	0	0	0	0	0
t000894	-1	0	0	0	0
t000895	-1	0	0	0	0
t000896	0	0	0	0	0
t000897	0	0	0	0	0
t000898	0	0	0	-1	0
t000899	-2	0	1	0	1
t000900	0	0	0	0	0
t000901	0	0	0	0	0
t000902	0	0	0	0	0
t000903	0	-1	0	0	0
t000904	-1	0	0	0	0
t000905	0	0	0	0	0
t000906	0	0	0	0	0
t000907	0	0	0	0	0
t000908	0	0	0	0	0
t000909	0	0	0	0	0
t000910	0	0	0	0	0
t000912	-2	0	0	0	0
t000914	-1	-1	1	-1	0
t000915	-1	0	0	0	0
t000916	-2	0	0	0	0
t000917	0	0	0	-1	1
t000920	0	0	0	0	0
t000922	0	0	0	0	0
t000924	0	0	0	0	1
t000925	0	0	1	-1	0
t000926	0	0	0	0	0
t000927	-1	-1	0	0	0
t000928	0	0	0	-1	0
t000929	-1	0	0	-2	0
t000930	0	-1	0	0	0
t000931	0	0	0	-1	-1
t000932	0	0	0	-1	0
t000933	0	0	0	-1	0
t000935	0	0	0	-1	0
t000936	0	0	0	-2	1
t000937	-1	0	1	0	0
t000938	0	-1	0	0	0
t000939	0	0	0	-1	0
t000940	0	0	0	-1	0
t000941	-1	0	0	-1	0
t000942	0	-1	0	0	0
t000943	0	0	0	0	0
t000944	-1	0	0	0	0
t000945	-1	0	0	0	0
t000946	0	0	0	0	0
t000947	-3	0	0	0	1
t000948	0	0	0	-1	0
t000949	0	0	0	-1	1
t000950	-2	0	0	0	0
t000951	0	0	0	0	0
t000952	0	0	0	-2	1
t000953	0	0	0	0	2
t000954	0	-1	1	0	-1
t000955	-2	0	0	0	0
t000956	0	0	0	0	4
t000957	0	0	0	0	0
t000958	-1	0	0	0	0
t000959	0	0	0	0	0
t000960	0	-1	1	0	2
t000961	-1	-1	0	0	0
t000962	-1	0	0	0	0
t000963	0	0	0	0	0
t000965	0	0	0	0	1
t000966	-1	0	0	0	0
t000967	0	0	1	0	0
t000968	0	-1	1	-1	0
t000969	0	-1	0	-1	0
t000970	-1	0	0	0	-1
t000971	0	0	0	0	0
t000972	-1	0	1	0	1
t000973	-1	0	0	0	2
t000974	-1	0	0	0	0
t000975	0	-1	0	0	0
t000976	0	0	0	0	0
t000977	-1	0	0	0	0
t000978	0	0	0	0	0
t000979	-1	0	1	-1	0
t000980	-1	0	0	0	0
t000981	0	0	0	-1	0
t000982	0	0	0	0	0
t000984	0	-1	0	-1	0
t000985	-2	0	0	0	0
t000986	0	-2	1	-1	0
t000988	0	0	2	0	0
t000989	-1	-1	0	-1	0
t000990	0	-1	1	0	2
t000991	-1	0	0	0	1
t000992	-1	0	0	0	0
t000993	0	0	3	-1	2
t000994	-2	0	0	-2	0
t000995	0	0	0	0	0
t000996	0	0	0	0	0
t000997	0	0	1	0	1
t000998	0	0	0	-3	2
t000999	0	0	0	0	0
t001000	0	0	0	-1	0
t001001	-1	0	0	0	0
t001002	0	0	1	0	0
t001003	0	0	0	-1	0
t001006	0	0	0	-1	0
t001007	0	0	0	-1	0
t001008	0	0	0	0	2
t001010	0	-2	0	0	0
t001011	0	-1	0	0	0
t001012	0	0	0	0	0
t001013	0	0	0	0	0
